Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
ASS1	ENSG00000130707	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ATM	ENSG00000149311	CPG	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	0.69	0.04	2.65	0.067	0.112	0.69	0.12	1.65	0.189	0.302
ATP7B	ENSG00000123191	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
AURKC	ENSG00000105146	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
AVIL	ENSG00000135407	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
BBS1	ENSG00000174483	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.922	0.00	0.24	-0.17	0.911	0.919
BCHE	ENSG00000114200	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974	0.00	0.20	0.05	0.974	0.974
BCKDHB	ENSG00000083123	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
BCMO1	ENSG00000135697	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
BCS1L	ENSG00000074582	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
BLK	ENSG00000136573	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
BTD	ENSG00000169814	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
C21orf59	ENSG00000159079	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
C5	ENSG00000106804	OMIM	AD	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
C7	ENSG00000112936	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.69	0.20	1.06	0.371	0.434	0.69	0.20	1.06	0.371	0.422
C8B	ENSG00000021852	OMIM	AR	CNS-Medullo	0.69	0.16	1.33	0.275	0.390	0.69	0.16	1.33	0.275	0.417	0.69	0.16	1.33	0.275	0.404
CAPN3	ENSG00000092529	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
CARD14	ENSG00000141527	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CASP14	ENSG00000105141	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CBS	ENSG00000160200	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.16	1.33	0.275	0.417	0.69	0.16	1.33	0.275	0.404
CC2D2A	ENSG00000048342	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CCDC108	ENSG00000181378	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CCDC11	ENSG00000172361	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CCDC73	ENSG00000186714	SOD	Not OMIM	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
CCR5	ENSG00000160791	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CCT5	ENSG00000150753	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
CD36	ENSG00000135218	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
CDH17	ENSG00000079112	SOD	Not OMIM	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CENPE	ENSG00000138778	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
CENPF	ENSG00000117724	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
CENPJ	ENSG00000151849	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
CFHR5	ENSG00000134389	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CFTR	ENSG00000001626	OMIM	ADAR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	0.69	0.12	1.65	0.189	0.306	0.69	0.12	1.65	0.189	0.302
CHRNA5	ENSG00000169684	OMIM	Other	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
CLCN1	ENSG00000188037	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.16	0.32	0.843	0.855
CLCNKA	ENSG00000186510	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CLTCL1	ENSG00000070371	SOD	Not OMIM	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974
CNGA1	ENSG00000198515	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
CNGA3	ENSG00000144191	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
CNGB3	ENSG00000170289	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
CNTRL	ENSG00000119397	SOD	Not OMIM	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
COASY	ENSG00000068120	OMIM	AR	CNS-Medullo	0.69	0.12	1.65	0.189	0.302	-	-	-	-	-	0.69	0.12	1.65	0.189	0.302
COL4A4	ENSG00000081052	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
COL7A1	ENSG00000114270	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	0.69	0.08	2.07	0.119	0.194	0.69	0.08	2.07	0.119	0.192
COLQ	ENSG00000206561	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.69	0.08	2.07	0.119	0.192
CR2	ENSG00000117322	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
CTC1	ENSG00000178971	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
CYP1B1	ENSG00000138061	OMIM	AR	CNS-Medullo	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022	1.38	0.00	4.25	0.011	0.022
CYP24A1	ENSG00000019186	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.08	2.07	0.119	0.194	0.69	0.08	2.07	0.119	0.192
CYP27A1	ENSG00000135929	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
DDB2	ENSG00000134574	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
DDX41	ENSG00000183258	OMIM	AD	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
DDX58	ENSG00000107201	OMIM	AD	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
DHODH	ENSG00000102967	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
DMGDH	ENSG00000132837	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
DNAH1	ENSG00000114841	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.28	-0.37	0.811	0.839	0.00	0.28	-0.37	0.811	0.835
DNAH17	ENSG00000187775	OMIM	AR	CNS-Medullo	2.07	0.04	3.67	0.003	0.007	-	-	-	-	-	2.07	0.04	3.67	0.003	0.007
DNAH9	ENSG00000007174	OMIM	AR	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
DUOX2	ENSG00000140279	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
DUSP6	ENSG00000139318	OMIM	AD	CNS-Medullo	-	-	-	-	-	2.07	0.04	3.67	0.003	0.007	2.07	0.04	3.67	0.003	0.007
DYNC2H1	ENSG00000187240	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.69	0.08	2.07	0.119	0.192
DYSF	ENSG00000135636	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
ECT2L	ENSG00000203734	SOD	Not OMIM	CNS-Medullo	0.69	0.44	0.05	0.964	0.969	-	-	-	-	-	0.69	0.44	0.05	0.964	0.972
EIF2B5	ENSG00000145191	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
EPX	ENSG00000121053	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
ERCC2	ENSG00000104884	SOD	Not OMIM	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
EXTL3	ENSG00000012232	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
EYS	ENSG00000188107	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
F2	ENSG00000180210	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.69	0.08	2.07	0.119	0.194	0.69	0.08	2.07	0.119	0.192
F7	ENSG00000057593	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
FAM111A	ENSG00000166801	OMIM	AD	CNS-Medullo	2.07	0.00	4.68	0.004	0.008	-	-	-	-	-	2.07	0.00	4.68	0.004	0.008
FAM161A	ENSG00000170264	OMIM	Other	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
FAM83H	ENSG00000180921	OMIM	AD	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
FANCA	ENSG00000187741	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	1.38	0.04	3.25	0.014	0.028
FANCM	ENSG00000187790	CPG	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
FAT2	ENSG00000086570	OMIM	AD	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
FDXR	ENSG00000161513	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
FGG	ENSG00000171557	OMIM	AR	CNS-Medullo	-	-	-	-	-	2.07	0.76	0.32	0.688	0.721	2.07	0.76	0.32	0.688	0.717
FIG4	ENSG00000112367	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
FKBP14	ENSG00000106080	OMIM	AR	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	0.00	0.20	0.05	0.974	0.974	0.00	0.20	0.05	0.974	0.974
FKRP	ENSG00000181027	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
FLG	ENSG00000143631	OMIM	AD	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974
FMO3	ENSG00000007933	OMIM	AR	CNS-Medullo	-	-	-	-	-	1.38	0.08	2.66	0.025	0.048	1.38	0.08	2.66	0.025	0.048
FOXE1	ENSG00000178919	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
FREM1	ENSG00000164946	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
FUK	ENSG00000157353	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
FUZ	ENSG00000010361	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
GAA	ENSG00000171298	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
GALNS	ENSG00000141012	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.24	0.84	0.472	0.550	0.69	0.24	0.84	0.472	0.537
GAS2L2	ENSG00000132139	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
GCKR	ENSG00000084734	OMIM	Other	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
GDAP1	ENSG00000104381	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
GFAP	ENSG00000131095	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
GGCX	ENSG00000115486	OMIM	AR	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
GIGYF2	ENSG00000204120	OMIM	Other	CNS-Medullo	-	-	-	-	-	1.38	0.04	3.25	0.014	0.028	1.38	0.04	3.25	0.014	0.028
GINS1	ENSG00000101003	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
GJB2	ENSG00000165474	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	0.69	0.20	1.06	0.371	0.434	0.69	0.20	1.06	0.371	0.422
GJB4	ENSG00000189433	OMIM	AD	CNS-Medullo	2.07	0.08	3.09	0.005	0.011	-	-	-	-	-	2.07	0.08	3.09	0.005	0.011
GLB1	ENSG00000170266	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
GLRA1	ENSG00000145888	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
GNPTAB	ENSG00000111670	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
GNRHR	ENSG00000109163	OMIM	AR	CNS-Medullo	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022	1.38	0.00	4.25	0.011	0.022
GPD2	ENSG00000115159	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
GPR68	ENSG00000119714	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
GUCA1B	ENSG00000112599	OMIM	Other	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
GYG1	ENSG00000163754	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.08	2.07	0.119	0.194	0.69	0.12	1.65	0.189	0.302
HADHA	ENSG00000084754	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
HAL	ENSG00000084110	OMIM	ADAR	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974
HBB	ENSG00000244734	OMIM	AD	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
HEXA	ENSG00000213614	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
HEXB	ENSG00000049860	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
HGD	ENSG00000113924	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.922	0.00	0.24	-0.17	0.911	0.919
HGF	ENSG00000019991	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
HINT1	ENSG00000169567	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
HLA-C	ENSG00000204525	OMIM	Other	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
HPS1	ENSG00000107521	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
HTRA1	ENSG00000166033	OMIM	ADAR	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
HYDIN	ENSG00000157423	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
IFIH1	ENSG00000115267	OMIM	AD	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
IGF2	ENSG00000167244	OMIM	AD	CNS-Medullo	0.69	0.16	1.33	0.275	0.390	-	-	-	-	-	0.69	0.16	1.33	0.275	0.404
IGHMBP2	ENSG00000132740	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
IGLL5	ENSG00000254709	SOD	Not OMIM	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
IKBKAP	ENSG00000070061	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
IL17RC	ENSG00000163702	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
IMPG1	ENSG00000112706	OMIM	AD	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
INSL3	ENSG00000248099	OMIM	AD	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
ISX	ENSG00000175329	SOD	Not OMIM	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
IVD	ENSG00000128928	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
IYD	ENSG00000009765	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
KAL1	ENSG00000011201	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
KANK1	ENSG00000107104	OMIM	Other	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
KDM6B	ENSG00000132510	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
KEL	ENSG00000197993	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
KIAA0586	ENSG00000100578	OMIM	AR	CNS-Medullo	0.00	0.24	-0.17	0.911	0.917	0.00	0.20	0.05	0.974	0.974	0.00	0.24	-0.17	0.911	0.919
KLHL6	ENSG00000172578	SOD	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
KRT4	ENSG00000170477	OMIM	AD	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
LAMB3	ENSG00000196878	OMIM	AR	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	1.38	0.00	4.25	0.011	0.022	1.38	0.00	4.25	0.011	0.022
LARS2	ENSG00000011376	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
LDLR	ENSG00000130164	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.28	-0.37	0.811	0.839	0.00	0.28	-0.37	0.811	0.835
LEPR	ENSG00000116678	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
LIPA	ENSG00000107798	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
LIPT1	ENSG00000144182	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	0.00	0.12	0.64	0.693	0.721	0.69	0.12	1.65	0.189	0.302
LPL	ENSG00000175445	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
LRIG2	ENSG00000198799	OMIM	AR	CNS-Medullo	0.00	0.24	-0.17	0.911	0.917	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.919
LRP2	ENSG00000081479	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
LRP8	ENSG00000157193	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
LRRC6	ENSG00000129295	OMIM	AR	CNS-Medullo	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022	1.38	0.00	4.25	0.011	0.022
LRRK2	ENSG00000188906	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	2.07	0.00	4.68	0.004	0.008	2.07	0.08	3.09	0.005	0.011
LTBP2	ENSG00000119681	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
LY75-CD302	ENSG00000248672	SOD	Not OMIM	CNS-Medullo	0.00	0.24	-0.17	0.911	0.917	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.919
LZTR1	ENSG00000099949	OMIM	AD	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
MACC1	ENSG00000183742	SOD	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
MAN2B1	ENSG00000104774	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.08	2.07	0.119	0.192
MARS	ENSG00000166986	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
MC1R	ENSG00000258839	OMIM	AR	CNS-Medullo	0.00	0.28	-0.37	0.811	0.827	-	-	-	-	-	0.00	0.28	-0.37	0.811	0.835
MC4R	ENSG00000166603	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.69	0.12	1.65	0.189	0.306	0.69	0.12	1.65	0.189	0.302
MCCC2	ENSG00000131844	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
MEF2A	ENSG00000068305	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
MEFV	ENSG00000103313	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	1.38	0.08	2.66	0.025	0.048	1.38	0.08	2.66	0.025	0.048
MFRP	ENSG00000235718	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
MIB1	ENSG00000101752	OMIM	AD	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
MICALCL	ENSG00000133808	SOD	Not OMIM	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
MLH3	ENSG00000119684	OMIM	AD	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
MMACHC	ENSG00000132763	OMIM	AR	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	0.00	0.08	1.06	0.528	0.567	0.00	0.28	-0.37	0.811	0.835
MMP1	ENSG00000196611	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
MPDZ	ENSG00000107186	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
MPO	ENSG00000005381	OMIM	ADAR	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	0.00	0.28	-0.37	0.811	0.839	0.00	0.32	-0.54	0.724	0.748
MRPS7	ENSG00000125445	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
MTNR1B	ENSG00000134640	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
